id,lien,nom,Gamme PC,image_url,boutique,Taille de l'écran,Résolution d'écrans,Processeur,Référence Processeur,Mémoire,Disque Dur,Type Disque Dur,Carte Graphique,Système d'exploitation,Gamer,prix
83A1009HFE-16G,https://www.mytek.tn/pc-portable-lenovo-v15-g4-iru-i5-13e-gen-16go-512go-ssd-noir.html,PC Portable LENOVO V15 G4 IRU i5 13è Gén 16Go 512Go SSD - Noir,V15 G4 IRU,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-v15-g4-iru-i5-13e-gen-16go-512go-ssd-noir-45.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i5,Intel® Core™ i5-13420H,16 Go,512Go SSD,SSD,Graphique Intégrée,FreeDos,Non,"1 589,000 DT"
83EM00GMFG,https://www.mytek.tn/pc-portable-lenovo-ideapad-slim-3-15irh8-i5-13e-gen-16go-512go-ssd-gris.html,PC Portable LENOVO IdeaPad Slim 3 15IRH8 i5 13è Gén 16Go 512Go SSD - Gris,IDEAPAD SLIM 3 15IRH8,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-slim-3-15irh8-i5-13e-gen-16go-512go-ssd-gris-fg.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i5,Intel® Core™ i5-13420H,16 Go,512Go SSD,SSD,Graphique Intégrée,FreeDos,Non,"1 589,000 DT"
83K100C1FG,https://www.mytek.tn/pc-portable-lenovo-ideapad-slim-3-15irh10-i5-13e-gen-16go-512go-ssd-gris.html,PC Portable LENOVO IdeaPad Slim 3 15IRH10 i5 13è Gén 16Go 512Go SSD - Gris,IDEAPAD SLIM 3 15IRH10,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-slim-3-15irh10-i5-13e-gen-16go-512go-ssd-gris.jpg,Mytek,15.3 Pouces,1920 x 1200 pixels,Intel Core i5,Intel® Core™ i5-13420H,16 Go,512Go SSD,SSD,Graphique Intégrée,FreeDos,Non,"1 589,000 DT"
N3409PVNB3530-16G,https://www.mytek.tn/pc-portable-dell-vostro-3530-i5-13e-gen-16g-512go-ssd-noir.html,Pc Portable DELL Vostro 3530 i5 13è Gén 16G 512Go SSD - Noir,VOSTRO 3530,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-dell-vostro-3530-i5-13e-gen-16g-512go-ssd-noir-lk.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i5,Intel® Core™ i5-1334U,16 Go,512Go SSD,SSD,Graphique Intégrée,FreeDos,Non,"1 595,000 DT"
82R400XKFG-16G,https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15alc7-amd-ryzen-7-16g-512g-ssd-bleu.html,PC Portable LENOVO IdeaPad 1 15ALC7 AMD RYZEN 7 16G 512G SSD - Bleu,IDEAPAD 1,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15alc7-amd-ryzen-7-16g-512g-ssd-bleu.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,AMD Ryzen 7,AMD Ryzen™ 7 5700U,16 Go,512Go SSD,SSD,AMD Radeon,Windows 11 Famille,Non,"1 599,000 DT"
BU-83A1009HFE-W11P,https://www.mytek.tn/pc-portable-lenovo-v15-g4-iru-i5-13e-gen-8go-512g-ssd-noir.html,PC Portable LENOVO V15 G4 IRU i5 13è Gén 8Go 512G SSD - Noir,V15 G4 IRU,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-v15-g4-iru-i5-13e-gen-8go-512g-ssd-noir-45.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i5,Intel® Core™ i5-13420H,8 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Pro,Non,"1 599,000 DT"
BU-83ER00H5FG-W11P,https://www.mytek.tn/pc-portable-lenovo-ideapad-slim-3-15iah8-i5-12e-gen-16go-512g-ssd-gris.html,PC Portable LENOVO IdeaPad Slim 3 15IAH8 i5 12è Gén 16Go 512G SSD - Gris,IDEAPAD SLIM 3 15IAH8,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-slim-3.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i5,Intel® Core™ i5-12450H,16 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Pro,Non,"1 599,000 DT"
BU-V3520-I5-512SSD-32G-W11P,https://www.mytek.tn/pc-portable-dell-vostro-3520-i5-12eme-gen-32go-512g-ssd-noir.html,Pc Portable DELL Vostro 3520 i5 12ème Gén 32Go 512G SSD - Noir,VOSTRO 3520,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-dell-vostro-3520-i5-12eme-gen-32go-512g-ssd-noir-60.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i5,Intel® Core™ i5-1235U,32 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Pro,Non,"1 605,000 DT"
BU-N3409PVNB3530-W11P,https://www.mytek.tn/pc-portable-dell-vostro-3530-i5-13e-gen-8g-512g-ssd-noir.html,Pc Portable DELL Vostro 3530 i5 13è Gén 8G 512G SSD - Noir,VOSTRO 3530,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-dell-vostro-3530-i5-13e-gen-8g-512g-ssd-noir.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i5,Intel® Core™ i5-1334U,8 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Pro,Non,"1 609,000 DT"
X1502VA-NJ722W-16G,https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i5-13e-gen-16g-512go-ssd-silver.html,PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 16G 512Go SSD - Silver,VIVOBOOK 15 X1502VA,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-vivobook-15-x1502va-i5-13e-gen-16g-512go-ssd-silver-gtr.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i5,Intel® Core™ i5-13420H,16 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Famille,Non,"1 619,000 DT"
X1502VA-NJ561W-16G,https://www.mytek.tn/pc-portable-asus-vivobook-15-x1502va-i5-13e-gen-16g-512go-ssd-bleu.html,PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 16G 512Go SSD - Bleu,VIVOBOOK 15 X1502VA,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-vivobook-15-x1502va-i5-13e-gen-16g-512go-ssd-bleu-qs.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i5,Intel® Core™ i5-13420H,16 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Famille,Non,"1 619,000 DT"
A2AP7EA,https://www.mytek.tn/pc-portable-hp-15-fd0095nk-i5-13e-gen-8go-512go-ssd-silver.html,PC Portable HP 15-fd0095nk i5 13è Gén 8Go 512Go SSD - Silver,15-fd0095nk,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0095nk-i5-13e-gen-8go-512go-ssd-silver-200.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i5,Intel® Core™ i5-1334U,8 Go,512Go SSD,SSD,Graphique Intégrée,FreeDos,Non,"1 619,000 DT"
BU-83A1009HFE-12G-W11P,https://www.mytek.tn/pc-portable-lenovo-v15-g4-iru-i5-13e-gen-12g-512g-ssd-noir.html,PC Portable LENOVO V15 G4 IRU i5 13è Gén 12G 512G SSD - Noir,V15 G4 IRU,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-v15-g4-iru-i5-13e-gen-12g-512g-ssd-noir-45.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i5,Intel® Core™ i5-13420H,12 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Pro,Non,"1 619,000 DT"
A2AP5EA,https://www.mytek.tn/pc-portable-hp-15-fd0094nk-i5-13e-gen-8go-512go-ssd-silver-bleu.html,PC Portable HP 15-fd0094nk i5 13è Gén 8Go 512Go SSD - Silver & Bleu,15-fd0094nk,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0094nk-i5-13e-gen-8go-512go-ssd-silver-bleu-200.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i5,Intel® Core™ i5-1334U,8 Go,512Go SSD,SSD,Graphique Intégrée,FreeDos,Non,"1 619,000 DT"
