Référence,lien,nom,Marque,image_url,boutique,Taille Ecran,Résolution,Processeur,Référence processeur,Mémoire RAM,Disque Dur,Type de disque dur,Carte Graphique,Système D’exploitation,Pc Gamer,prix
X1504VA-NJ814W,https://www.graiet.tn/asus-pc-portable-i3-13e-gen-8go-512ssd-win-11-silver.html,Pc Portable ASUS VIVOBOOK 15 | Intel i3 - 8 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-i3-13e-gen-8go-memoire-vive-disque-512-ssd-win-11-silver-clavier-chiclet-pave-num_rique_2_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 139,00 TND"
A2AP0EA,https://www.graiet.tn/hp-pc-portable-15-a2ap0ea-i3-n305-8go-512ssd-fd-naturel-silver.html,Pc Portable HP 15 | Intel i3 - 8 G - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-a2ap0ea-i3-n305-8go-512ssd-fd-naturel-silver_5_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3-N305,,8 G,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 149,00 TND"
B2502CBA-KJ1662-WP,https://www.graiet.tn/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-8go-512ssd-intel-uhd-win11.html,Pc Portable ASUS EXPERTBOOK | Intel i3 - 8 G - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-8go-512ssd-intel-uhd-bleu_2__2_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3-12è Gén,,8 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 149,00 TND"
X1504VA-NJ725-16G,https://www.graiet.tn/pc-portable-asus-x1504va-intel-core-i3-13e-gen-16-go-ram-silver.html,PC Portable ASUS  X1504VA – Intel Core i3 13e Gén / 16 Go RAM / Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-intel-core-i3-13e-gen-16-go-ram-silver_6_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 159,00 TND"
BU-X1504VA-NJ739-16G-W11P,https://www.graiet.tn/pc-portable-asus-x1504va-intel-core-i3-13e-gen-16-go-ram-windows-11.html,PC Portable ASUS X1504VA – Intel Core i3 13e Gén / 16 Go RAM / Windows 11,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-intel-core-i3-13e-gen-16-go-ram-windows-11_2_.webp,graiet,"19,5""",(960 x 480) Pixels,Hélio G99,,,64 Go eMMC,,NVIDIA GeForce GTX 1660,Android 14,Non,"1 179,00 TND"
BU-X1504VA-NJ725-16G-W11P,https://www.graiet.tn/pc-portable-asus-x1504va-i3-13e-gen-16-go-ram-windows-11-silver.html,PC Portable ASUS  X1504VA – i3 13e Gén / 16 Go RAM / Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-intel-core-i3-13e-gen-16-go-ram-windows-11-silver_6_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 179,00 TND"
BU-X1504VA-NJ739-24G-S,https://www.graiet.tn/pc-portable-asus-x1504va-intel-core-i3-13e-gen-24-go-ram-512-go-ssd.html,PC Portable ASUS  X1504VA – Intel Core i3 13e Gén / 24 Go RAM / 512 Go SSD,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-intel-core-i3-13e-gen-24-go-ram-512-go-ssd_2_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,24Go,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 189,00 TND"
BU-X1504VA-NJ725-24G-S,https://www.graiet.tn/pc-portable-asus-x1504va-intel-core-i3-13e-gen-24-go-ram-silver.html,PC Portable ASUS  X1504VA – Intel Core i3 13e Gén / 24 Go RAM / Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-intel-core-i3-13e-gen-24-go-ram-silver_4_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,24Go,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 189,00 TND"
X1504VA-NJ518W-16G,https://www.graiet.tn/pc-portable-asus-vivobook-15-i3-13e-gen-16go-512ssd-win11-bleu.html,Pc Portable ASUS VIVOBOOK 15 Intel i3 | 16 Go - 512 SSD - Bleu,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/a/s/asus-pc-portable-vivobook-15-i3-13e-gen-8go-512ssd-win11-bleu_1__1.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 199,00 TND"
X1504VA-NJ814W-16G,https://www.graiet.tn/pc-portable-asus-vivobook-15-i3-13e-gen-16go-512ssd-win-11-silver.html,Pc Portable ASUS VIVOBOOK 15 Intel i3 | 16 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-i3-13e-gen-8go-memoire-vive-disque-512-ssd-win-11-silver-clavier-chiclet-pave-num_rique_2__1.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 199,00 TND"
BU-A2AP0EA-16G,https://www.graiet.tn/pc-portable-hp-15-a2ap0ea-i3-n305-16go-512ssd-fd-naturel-silver.html,Pc Portable HP 15 Intel i3 | 16 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-a2ap0ea-i3-n305-16go-512ssd-fd-naturel-silver.webp,graiet,"19,5""",(960 x 480) Pixels,Hélio G99,,,64 Go eMMC,,NVIDIA GeForce GTX 1660,Android 14,Non,"1 205,00 TND"
A2AN9EA-16G,https://www.graiet.tn/pc-portable-hp-15-a2an9ea-i3-n305-16go-512ssd-uhd-fd-gold.html,Pc Portable HP 15 Intel i3 | 16 Go - 512 SSD - Gold,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-hp-15-i3-n305-16g-512ssd-intel-uhd-fd-gold_3_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3-N305,,16 G,512 Go SSD,,Intel UHD Graphics,Android 14,Non,"1 205,00 TND"
BU-X1504VA-NJ739-24G-W11P,https://www.graiet.tn/pc-portable-asus-x1504va-intel-core-i3-13e-gen-24-go-ram-windows-11.html,PC Portable ASUS  X1504VA – Intel Core i3 13e Gén / 24 Go RAM / Windows 11,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-intel-core-i3-13e-gen-24-go-ram-windows-11_2_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,24Go,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 209,00 TND"
