id,lien,nom,Marque,image_url,boutique,Taille Ecran,Type Ecran,Processeur,Réf processeur,Mémoire,Disque Dur,Type de disque dur,Carte Graphique,Système d'exploitation,Gamer,prix
G15-5530I5-3Y,https://www.tunisianet.com.tn/pc-portable-tunisie/80209-pc-portable-gamer-dell-g15-5530-i5-13450hx-rtx-3050-6g-16-go-512-go-ssd-noir.html,Pc Portable Gamer Dell G15 5530 / i5-13450HX / RTX 3050 6G / 16 Go / 512 Go SSD / Noir,,https://www.tunisianet.com.tn/399086-home/pc-portable-gamer-dell-g15-5530-i5-13450hx-rtx-3050-6g-16-go-512-go-ssd-noir.jpg,tunisianet,"14"" - 15.6""",Full HD,Intel Core i5 | Intel Core 5,"Intel Core i5-13450HX (3,40  GHz up to 4,60 Ghz , 20 Mo de mémoire cache)",16 Go,512 Go SSD,,Nvidia GeForce,FreeDos,,"2 549,000 DT"
PRM-G15-5530I5-3Y,https://www.tunisianet.com.tn/pc-portable-tunisie/81171-pc-portable-gamer-dell-g15-5530-i5-13450hx-rtx-3050-6g-16-go-512-go-ssd-noir.html,Pc Portable Gamer Dell G15 5530 / i5-13450HX / RTX 3050 6G / 16 Go / 512 Go SSD / Noir + Cadeau Offert,,https://www.tunisianet.com.tn/403854-home/pc-portable-gamer-dell-g15-5530-i5-13450hx-rtx-3050-6g-16-go-512-go-ssd-noir.jpg,tunisianet,"14"" - 15.6""",Full HD,Intel Core i5 | Intel Core 5,"Intel Core i5-13450HX (3,40  GHz up to 4,60 Ghz , 20 Mo de mémoire cache)",16 Go,512 Go SSD,,Nvidia GeForce,FreeDos,,"2 559,000 DT"
B13UCX-2606XFR-32W11P,https://www.tunisianet.com.tn/pc-portable-tunisie/81106-pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-32-go-512-go-ssd-windows-11-pro-gris-cosmos-sac-a-dos-msi-offert.html,Pc Portable Gamer MSI Thin 15 B13U / i7-13620H / RTX 2050 4G / 32 Go / 512 Go SSD / Windows 11 Pro / Gris Cosmos Sac à dos MSI Offert,,https://www.tunisianet.com.tn/403025-home/pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-32-go-512-go-ssd-windows-11-pro-gris-cosmos-sac-a-dos-msi-offert.jpg,tunisianet,"14"" - 15.6""",Full HD,Intel Core i7 | Intel Core 7,"Intel Core i7-13620H (4.9 GH, 24 Mo de mémoire cache)",32 Go,512 Go SSD,,Nvidia GeForce,Windows 11,,"2 559,000 DT"
B5602CVA-MB0545,https://www.tunisianet.com.tn/pc-portable-tunisie/78436-pc-portable-asus-expertbook-b5-b5602cva-i5-1340p-16-go-ddr5-512-go-ssd-noir.html,Pc Portable ASUS ExpertBook B5 B5602CVA / i5-1340P / 16 Go DDR5 / 512 Go SSD / Noir,,https://www.tunisianet.com.tn/388726-home/pc-portable-asus-expertbook-b5-b5602cva-i5-1340p-16-go-ddr5-512-go-ssd-noir.jpg,tunisianet,"16""",WUXGA,Intel Core i5 | Intel Core 5,"Intel Core i5-1340P (4.6GH, 12 Mo de mémoire cache)",16 Go,,,Graphique Intégrée,FreeDos,Non,"2 565,000 DT"
845B2EA-32,https://www.tunisianet.com.tn/pc-portable-tunisie/73146-pc-portable-gamer-hp-victus-gaming-15-fa1003nk-i5-13500h-rtx-3050-6g-32-go-ddr4-512-go-ssd-windows-11-noir.html,Pc Portable Gamer HP Victus Gaming 15-fa1003nk / i5-13500H / RTX 3050 6G / 32 Go DDR4 / 512 Go SSD / Windows 11 / Noir,,https://www.tunisianet.com.tn/357162-home/pc-portable-gamer-hp-victus-gaming-15-fa1003nk-i5-13500h-rtx-3050-6g-32-go-ddr4-512-go-ssd-windows-11-noir.jpg,tunisianet,"14"" - 15.6""",Full HD,Intel Core i5 | Intel Core 5,"Intel Core i5-13500H, 13ème Génération, 3.5 Ghz up to 4.7 Ghz, 18 Mo de mémoire cache",32 Go,512 Go SSD,,Nvidia GeForce,Windows 11,,"2 569,000 DT"
83LK007TFG-32,https://www.tunisianet.com.tn/pc-portable-tunisie/85595-pc-portable-gamer-lenovo-loq-15iax9e-i5-12450hx-rtx-3050-6g-32-go-ddr5-512-go-ssd-gris-avec-souris-lenovo-loq-m100-rgb.html,Pc Portable Gamer Lenovo LOQ 15IAX9E / i5-12450HX / RTX 3050 6G / 32 Go DDR5 / 512 Go SSD / Gris Avec Souris Lenovo LOQ M100 RGB,,https://www.tunisianet.com.tn/427261-home/pc-portable-gamer-lenovo-loq-15iax9e-i5-12450hx-rtx-3050-6g-32-go-ddr5-512-go-ssd-gris-avec-souris-lenovo-loq-m100-rgb.jpg,tunisianet,"14"" - 15.6""",Full HD,Intel Core i5 | Intel Core 5,"Intel Core i5-12450HX, Octa-Core(3.1GHz Up To 4.4GH)",32 Go,512 Go SSD,,Nvidia GeForce,FreeDos,,"2 569,000 DT"
B13UCX-2605XFR-32,https://www.tunisianet.com.tn/pc-portable-tunisie/79822-pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-3050-4g-32-go-512-go-ssd-gris-cosmos.html,Pc Portable Gamer MSI Thin 15 B13U / i5-13420H / RTX 3050 4G / 32 Go / 512 Go SSD / Gris Cosmos,,https://www.tunisianet.com.tn/397310-home/pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-3050-4g-32-go-512-go-ssd-gris-cosmos.jpg,tunisianet,"14"" - 15.6""",Full HD,Intel Core i5 | Intel Core 5,"Intel Core i5-13420H (3.4 GH up to 4.60, 12 Mo de mémoire cache)",32 Go,512 Go SSD,,Nvidia GeForce,FreeDos,,"2 569,000 DT"
21JN008VFE-2Y-16,https://www.tunisianet.com.tn/pc-portable-tunisie/85146-pc-portable-lenovo-thinkpad-e16-gen-1-i5-1335u-16-go-512-go-ssd-noir.html,Pc Portable Lenovo ThinkPad E16 Gen 1 / i5-1335U / 16 Go / 512 Go SSD / Noir,,https://www.tunisianet.com.tn/424283-home/pc-portable-lenovo-thinkpad-e16-gen-1-i5-1335u-16-go-512-go-ssd-noir.jpg,tunisianet,"16""",WUXGA,Intel Core i5 | Intel Core 5,"Intel Core i5-1335U (4.60 GH, 12 Mo de mémoire cache)",16 Go,512 Go SSD,,Graphique Intégrée,FreeDos,,"2 569,000 DT"
TP3402VA-LZ265W-24,https://www.tunisianet.com.tn/pc-portable-tunisie/74090-pc-portable-asus-vivobook-s-14-flip-tp3402va-i5-13500h-24-go-windows-11-silver.html,Pc Portable ASUS Vivobook S 14 Flip TP3402VA / i5-13500H / 24 Go / Windows 11 / Silver,,https://www.tunisianet.com.tn/362268-home/pc-portable-asus-vivobook-s-14-flip-tp3402va-i5-13500h-24-go-windows-11-silver.jpg,tunisianet,"14""",,Intel Core i5 | Intel Core 5,"Intel Core i5-13500H, 13ème Génération, 3.5 Ghz up to 4.7 Ghz, 18 Mo de mémoire cache",24 Go,,,Graphique Intégrée,Windows 11,,"2 575,000 DT"
V3607VJ-RP086-24-W11P,https://www.tunisianet.com.tn/pc-portable-tunisie/85948-pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-rtx-3050-6g-24-go-ddr5-512-go-ssd-windows-11-pro-noir.html,Pc Portable Gamer ASUS V16 V3607VJ / Intel Core 5 210H / RTX 3050 6G / 24 Go DDR5 / 512 Go SSD / Windows 11 Pro / Noir,,https://www.tunisianet.com.tn/429163-home/pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-rtx-3050-6g-24-go-ddr5-512-go-ssd-windows-11-pro-noir.jpg,tunisianet,"16""",WUXGA,Intel Core i5 | Intel Core 5,"Intel Core 5 210H, (jusqu’à 4.8 GHz, 12 Mo de mémoire cache)",24 Go,512 Go SSD,,Nvidia GeForce,Windows 11,,"2 579,000 DT"
