reference,lien,nom,Marque,image_url,boutique,Taille De L'ecran Pc,Résolution écran,Processeur,reference Processeur,Memoire RAM,CAPACITÉ DE DISQUE,Type de disque dur,Carte Graphique,Systeme D'exploitation,Gamer,prix
82LX00CFFG,https://agora.tn/fr/pc-portable/16773-pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-gris.html,PC PORTABLE LENOVO IDEAPAD 1 15IJL7 INTEL CELERON N4500 8GO 256GO SSD GRIS,,https://agora.tn/fr/46469-home_default/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-gris.jpg,agora,"15.6""",,Intel Celeron-Dual Core,,8 Go,256 Go SSD,,Graphique Intégrée,FreeDos,Non,"709,000 TND"
82V700JVFG,https://agora.tn/fr/pc-portable/16418-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-8go-256go-ssd-gris.html,PC PORTABLE LENOVO IDEAPAD 1 15IGL7 INTEL CELERON N4020 8GO 256GO SSD GRIS,,https://agora.tn/fr/45802-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-8go-256go-ssd-gris.jpg,agora,"15.6""",,Intel Celeron-Dual Core,,8 Go,256 Go SSD,,Graphique Intégrée,FreeDos,Non,"719,000 TND"
82YU0044FE,https://agora.tn/fr/pc-portable/15019-pc-portable-lenovo-v15-amn-amd-7120u-8go-256go-ssd.html,PC PORTABLE LENOVO V15 AMN AMD 7120U 8GO 256GO SSD,,https://agora.tn/fr/42384-home_default/pc-portable-lenovo-v15-amn-amd-7120u-8go-256go-ssd.jpg,agora,"15.6""",,AMD,,8 Go,256 Go SSD,,AMD Radeon,FreeDos,Non,"725,000 TND"
X515KA-EJ008-8,https://agora.tn/fr/pc-portable/16664-pc-portable-asus-x515ka-celeron-n4500u-8go-256go-ssd-silver.html,PC PORTABLE ASUS X515KA CELERON N4500U 8GO 256GO SSD SILVER,,https://agora.tn/fr/46726-home_default/pc-portable-asus-x515ka-celeron-n4500u-8go-256go-ssd-silver.jpg,agora,"15.6""",,Intel Celeron-Dual Core,,8 Go,256 Go SSD,,Graphique Intégrée,FreeDos,Non,"739,000 TND"
82V700EJFG,https://agora.tn/fr/pc-portable/15309-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-8go-256go-ssd.html,PC PORTABLE LENOVO IDEAPAD 1 15IGL7 INTEL CELERON N4020 8GO 256GO SSD,,https://agora.tn/fr/48397-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-8go-256go-ssd.jpg,agora,"15.6""",,Intel Celeron-Dual Core,,8 Go,256 Go SSD,,Graphique Intégrée,Windows,Non,"749,000 TND"
886L3EA,https://agora.tn/fr/pc-portable/16168-pc-portable-hp-15-fd0028nk-intel-n100-4go-256go-ssd-silver.html,PC PORTABLE HP 15-FD0028NK INTEL N100 4GO 256GO SSD SILVER,,https://agora.tn/fr/45272-home_default/pc-portable-hp-15-fd0028nk-intel-n100-4go-256go-ssd-silver.jpg,agora,"15.6""",,Intel Celeron-Quad-Core,,4 Go,256 Go SSD,,Graphique Intégrée,Windows,Non,"769,000 TND"
886L5EA,https://agora.tn/fr/pc-portable/15354-pc-portable-hp-15-fd0030nk-4-go-windows-11-gris.html,PC PORTABLE HP 15-FD0030NK 4 GO WINDOWS 11 GRIS,,https://agora.tn/fr/43300-home_default/pc-portable-hp-15-fd0030nk-4-go-windows-11-gris.jpg,agora,"15.6""",,Intel Celeron-Quad-Core,,4 Go,256 Go SSD,,Graphique Intégrée,Windows,Non,"769,000 TND"
886L4EA,https://agora.tn/fr/pc-portable/15353-pc-portable-hp-15-fd0029nk-n100-4go-256go-ssd-bleu.html,PC PORTABLE HP 15-FD0029NK N100 4GO 256GO SSD BLEU,,https://agora.tn/fr/43302-home_default/pc-portable-hp-15-fd0029nk-n100-4go-256go-ssd-bleu.jpg,agora,"15.6""",,Intel Celeron-Quad-Core,,4 Go,256 Go SSD,,Graphique Intégrée,Windows,Non,"769,000 TND"
82V700EFFG,https://agora.tn/fr/pc-portable/15308-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-8go-256go-ssd-gris.html,PC PORTABLE LENOVO IDEAPAD 1 15IGL7 INTEL CELERON N4020 8GO 256GO SSD GRIS,,https://agora.tn/fr/42758-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-8go-256go-ssd-gris.jpg,agora,"15.6""",,Intel Celeron-Dual Core,,8 Go,256 Go SSD,,Graphique Intégrée,Windows,Non,"769,000 TND"
AB1T8EA,https://agora.tn/fr/pc-portable/16495-pc-portable-hp-15-fd0297nk-n100-8go-256go-ssd-noir.html,PC PORTABLE HP 15-FD0297NK N100 8GO 256GO SSD NOIR,,https://agora.tn/fr/47845-home_default/pc-portable-hp-15-fd0297nk-n100-8go-256go-ssd-noir.jpg,agora,"15.6""",,Intel Celeron,,8 Go,256 Go SSD,,Graphique Intégrée,FreeDos,Non,"789,000 TND"
