Référence,lien,nom,Marque,image_url,boutique,Taille de l'écran,Résolution écran,Processeur,Référence processeur,Mémoire,Disque dur,Type de disque dur,Carte graphique,Système d'exploitation,Gamer,prix
83EM00GMFG,https://batam.com.tn/pc-lenovo-i5-16-512gb-grey-24m-43007516.html,PC Portable LENOVO IdeaPad Slim 3 15IRH8 i5 13è Gén 16Go 512Go SSD - Gris + Sacoche,LENOVO,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007516-.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Intel® Core™ i5-13420H,16 Go,512GO,SSD,Graphique Intégrée,FreeDos,Non,"1 589,000 DT"
361505-3530,https://batam.com.tn/pc-portable-dell-vostro-3530-i5-13e-gen-8go-512go-ssd-noir-43007003.html,Pc Portable DELL Vostro 3530 i5 13è Gén 8Go 512Go SSD - Noir,DELL,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007003.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Processeur Intel Core i5-1335U,8 Go,512GO,SSD,Graphique Intégrée,Windows 11,Non,"1 599,000 DT"
V3520-I5-512SSD,https://batam.com.tn/dellvostro3520-i5-1235u-8-512g-43005855.html,Pc Portable DELL VOSTRO 3520 I5-1235U 8/512G + Sacoche Gratuite,DELL,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43005855_2.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Intel® Core™ i5-1235U,8 Go,512GO,SSD,Graphique Intégrée,Ubunto,Non,"1 599,000 DT"
X1502VA-NJ722W,https://batam.com.tn/asus-i5-8-512-win-11-silver-43007678.html,PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 8G 512Go SSD - Silver,ASUS,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007678.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Intel® Core™ i5-13420H,8 Go,512GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"1 649,000 DT"
X1502VA-NJ561W,https://batam.com.tn/asus-i5-8-512-win-11-blue-43007669.html,PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 8G 512Go SSD - Bleu,ASUS,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007669.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Intel® Core™ i5-13420H,8 Go,512GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"1 649,000 DT"
82R400XLFG/TN,https://batam.com.tn/lenovo-r7-8-512gb-w11-blue-43007652.html,PC Portable LENOVO IdeaPad 1 15ALC7 AMD RYZEN 7 8Go 512Go SSD - Bleu + Sacoche Gratuite,LENOVO,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007652_2.jpg,Batam,"15,6''",1920 x 1080,AMD Ryzen 7,AMD Ryzen™ 7 5700U,8 Go,512GO,SSD,AMD Radeon,FreeDos,Non,"1 649,000 DT"
X1502VA-NJ231W,https://batam.com.tn/x1502va-nj231w-asus-i5-8-512-43006695.html,PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 8Go 512Go SSD - Silver +Sacoche gratuite,ASUS,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43006695_1_1.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Intel® Core™ i5-13500H,8 Go,512GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"1 669,000 DT"
9D6V9EA,https://batam.com.tn/pc-hp-i5-8gb-512gb-w11-blue-43006998.html,PC Portable HP 15-fd0041nk i5 13è Gén 8Go 512Go SSD - Silver & Bleu,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43006998.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Intel® Core™ i5-1334U,8 Go,512GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"1 689,000 DT"
83A1009HFE,https://batam.com.tn/83a1009hfe-lenovo-v15-i5-8-512-43006777.html,PC Portable LENOVO V15 G4 IRU i5 13è Gén 8Go 512Go SSD - Noir,LENOVO,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43006777_3.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Intel® Core™ i5-13420H,8 Go,512GO,SSD,Graphique Intégrée,FreeDos,Non,"1 699,000 DT"
6D6W0EA,https://batam.com.tn/hp-14-i5-8-256-w11-na-silver-43008047.html,PC Portable HP 14s-dq5001nk i5 12Gén 8Go 256Go SSD Silver,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008047.jpg,Batam,14'',,Intel Core i5,Intel Core i5-1235U,8 Go,256GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"1 739,000 DT"
9D6W0EA,https://batam.com.tn/hp-core-i5-8-512-w11-silver-43008040.html,PC Portable HP 15-fd0042nk I5 13è Gén 8Go 512Go SSD – Silver,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008040.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Intel® Core™ i5-1334U,8 Go,512GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"1 749,000 DT"
9D6W1EA,https://batam.com.tn/hpcore-i5-8-512-w11-warm-gold-43008041.html,PC Portable HP 15-fd0048nk i5 13è Gén 8Go 512Go SSD - Silver & Or Chaud,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008041.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Intel® Core™ i5-1334U,8 Go,512GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"1 749,000 DT"
B7VN6EA,https://batam.com.tn/hp-core-i5-8g-512-w11n-silver-43008042.html,PC Portable HP 15-fd0349nk i5 13Gén 8Go 512Go SSD - Silver,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008042.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Intel® Core™ i5-1334U,8 Go,512GO,SSD,Graphique Intégrée,Windows 11,Non,"1 769,000 DT"
82XM00H6FG,https://batam.com.tn/pc-lenovo-r7-16-512-sa-gry-43007309.html,PC Portable LENOVO IdeaPad Slim 3 15ABR8 AMD RYZEN 7 16Go 512Go SSD - Gris + Sacoche Gratuite,LENOVO,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007309_2.jpg,Batam,"15,6''",1920 x 1080,AMD Ryzen 7,AMD Ryzen™ 7 5700U,16 Go,512GO,SSD,AMD Radeon,FreeDos,Non,"1 769,000 DT"
