reference,link,name,brand,image_url,store,screen_size,processor,ram,SSD,HDD,gpu,os,gamer,price
B1502CBA-BQ0559X,https://www.tunisianet.com.tn/pc-portable-tunisie/78434-pc-portable-asus-expertbook-b1-b1502cba-i7-1255u-16-go-512-go-ssd-windows-11-pro-noir.html,Pc Portable ASUS ExpertBook B1 B1502CBA / i7-1255U / 16 Go / 512 Go SSD / Windows 11 Pro / Noir,Asus,https://www.tunisianet.com.tn/388702-home/pc-portable-asus-expertbook-b1-b1502cba-i7-1255u-16-go-512-go-ssd-windows-11-pro-noir.jpg,tunisianet,14.0,Intel Core i7,16,0,0,Integrated Graphics,Windows,0,2479.0
B13UCX-2606XFR-24-SSW11P,https://www.tunisianet.com.tn/pc-portable-tunisie/81105-pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-24-go-512-go-ssd-windows-11-pro-gris-cosmos.html,Pc Portable Gamer MSI Thin 15 B13U / i7-13620H / RTX 2050 4G / 24 Go / 512 Go SSD / Windows 11 Pro / Gris Cosmos Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,Msi,https://www.tunisianet.com.tn/431552-home/pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-24-go-512-go-ssd-windows-11-pro-gris-cosmos.jpg,tunisianet,14.0,Intel Core i7,24,512,0,Nvidia GeForce,Windows,1,2479.0
B13UCX-2606XFR-16W11P,https://www.tunisianet.com.tn/pc-portable-tunisie/81102-pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-16-go-512-go-ssd-windows-11-pro-gris-cosmos-sac-a-dos-msi-offert.html,Pc Portable Gamer MSI Thin 15 B13U / i7-13620H / RTX 2050 4G / 16 Go / 512 Go SSD / Windows 11 Pro / Gris Cosmos Sac à dos MSI Offert Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,Msi,https://www.tunisianet.com.tn/431553-home/pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-16-go-512-go-ssd-windows-11-pro-gris-cosmos-sac-a-dos-msi-offert.jpg,tunisianet,14.0,Intel Core i7,16,512,0,Nvidia GeForce,Windows,1,2485.0
6U8W2EA-24,https://www.tunisianet.com.tn/pc-portable-tunisie/60161-pc-portable-hp-victus-15-fb0020nk-ryzen-5-5600h-24-go-rtx-3050-4g.html,Pc portable HP Victus 15-fb0020nk / Ryzen 5 5600H / 24 Go / RTX 3050 4G Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,Hp,https://www.tunisianet.com.tn/431554-home/pc-portable-hp-victus-15-fb0020nk-ryzen-5-5600h-24-go-rtx-3050-4g.jpg,tunisianet,14.0,AMD Ryzen 5,24,512,0,Nvidia GeForce,Windows,0,2489.0
B13UCX-2605XFR-16,https://www.tunisianet.com.tn/pc-portable-tunisie/79820-pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-3050-4g-16-go-512-go-ssd-gris-cosmos.html,Pc Portable Gamer MSI Thin 15 B13U / i5-13420H / RTX 3050 4G / 16 Go / 512 Go SSD / Gris Cosmos,Msi,https://www.tunisianet.com.tn/397300-home/pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-3050-4g-16-go-512-go-ssd-gris-cosmos.jpg,tunisianet,14.0,Intel Core i5,16,512,0,Nvidia GeForce,FreeDos,1,2495.0
B13UCX-2606XFR-32,https://www.tunisianet.com.tn/pc-portable-tunisie/79819-pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-32-go-512-go-ssd-gris-cosmos.html,Pc Portable Gamer MSI Thin 15 B13U / i7-13620H / RTX 2050 4G / 32 Go / 512 Go SSD / Gris Cosmos Sac à dos MSI Offert Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,Msi,https://www.tunisianet.com.tn/431555-home/pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-32-go-512-go-ssd-gris-cosmos.jpg,tunisianet,14.0,Intel Core i7,32,512,0,Nvidia GeForce,FreeDos,1,2499.0
TP3402VA-LZ265W,https://www.tunisianet.com.tn/pc-portable-tunisie/74087-pc-portable-asus-vivobook-s-14-flip-tp3402va-i5-13500h-8-go-windows-11-silver.html,Pc Portable ASUS Vivobook S 14 Flip TP3402VA / i5-13500H / 8 Go / Windows 11 / Silver,Asus,https://www.tunisianet.com.tn/362224-home/pc-portable-asus-vivobook-s-14-flip-tp3402va-i5-13500h-8-go-windows-11-silver.jpg,tunisianet,14.0,Intel Core i5,8,0,0,Integrated Graphics,Windows,0,2499.0
TP3402VA-LZ265W-12,https://www.tunisianet.com.tn/pc-portable-tunisie/74088-pc-portable-asus-vivobook-s-14-flip-tp3402va-i5-13500h-12-go-windows-11-silver.html,Pc Portable ASUS Vivobook S 14 Flip TP3402VA / i5-13500H / 12 Go / Windows 11 / Silver,Asus,https://www.tunisianet.com.tn/362248-home/pc-portable-asus-vivobook-s-14-flip-tp3402va-i5-13500h-12-go-windows-11-silver.jpg,tunisianet,14.0,Intel Core i5,12,0,0,Integrated Graphics,Windows,0,2499.0
9U186EA-16,https://www.tunisianet.com.tn/pc-portable-tunisie/74409-pc-portable-gamer-hp-victus-gaming-15-fb0026nk-ryzen-7-5800h-rtx-3050-4g-16-go-512-go-ssd-windows-11.html,Pc Portable Gamer HP Victus Gaming 15-fb0026nk / Ryzen 7 5800H / RTX 3050 4G / 16 Go /  512 Go SSD / Windows 11 Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,Hp,https://www.tunisianet.com.tn/431556-home/pc-portable-gamer-hp-victus-gaming-15-fb0026nk-ryzen-7-5800h-rtx-3050-4g-16-go-512-go-ssd-windows-11.jpg,tunisianet,14.0,AMD Ryzen 7,16,512,0,Nvidia GeForce,Windows,1,2509.0
V3607VJ-RP086-24,https://www.tunisianet.com.tn/pc-portable-tunisie/84456-pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-rtx-3050-6g-24-go-ddr5-512-go-ssd-noir.html,Pc Portable Gamer ASUS V16 V3607VJ / Intel Core 5 210H / RTX 3050 6G / 24 Go DDR5 / 512 Go SSD / Noir,Asus,https://www.tunisianet.com.tn/420839-home/pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-rtx-3050-6g-24-go-ddr5-512-go-ssd-noir.jpg,tunisianet,16.0,Intel Core i5,24,512,0,Nvidia GeForce,FreeDos,1,2519.0
