reference,link,name,brand,image_url,store,screen_size,processor,ram,disk_capacity,gpu,os,gamer,price
9S7-16R831-2607-24,https://spacenet.tn/msi-gaming/81253-pc-portable-gamer-msi-thin-15-b13ucx-i5-13gen-24go-512go-ssd.html,Pc Portable Gamer MSI Thin 15 B13UCX i5 13Gén 24Go 512Go SSD,Msi,https://spacenet.tn/250279-home_default/pc-portable-gamer-msi-thin-15-b13ucx-i5-13gen-24go-512go-ssd.jpg,SpaceNet,15.6,Intel Core i5,24,512 Go SSD,Nvidia GeForce RTX 2050 (4 Go de mémoire dédiée GDDR6 ),Free Dos,Oui,2229.0
N006L355015EMEA-VP-UBU-16-W11,https://spacenet.tn/pc-portables-pro-tunisie/89223-pc-portable-dell-latitude-3550-i5-13gen-16go-512go-ssd-windows-11.html,Pc Portable Dell Latitude 3550 i5 13Gén 16Go 512Go SSD Windows 11,Dell,https://spacenet.tn/282393-home_default/pc-portable-dell-latitude-3550-i5-13gen-16go-512go-ssd-windows-11.jpg,SpaceNet,15.6,Intel Core i5,16,512 Go SSD,Intel Iris Xe,Windows 11,Non,2229.0
B1502CVA-NJ2212,https://spacenet.tn/pc-portable-asus/88346-pc-portable-asus-expertbook-b1-b1502-i7-13gen-8go-512go-ssd.html,Pc Portable Asus Expertbook B1 B1502 i7 13Gén 8Go 512Go SSD,Asus,https://spacenet.tn/274862-home_default/pc-portable-asus-expertbook-b1-b1502-i7-13gen-8go-512go-ssd.jpg,SpaceNet,15.6,Intel Core i7,8,512 Go SSD,Intel UHD,Free Dos,Non,2239.0
83LK0075FG-32,https://spacenet.tn/lenovo-loq/88874-pc-portable-gamer-lenovo-loq-15iax9e-i5-12gen-32go-512go-ssd.html,Pc Portable Gamer Lenovo LOQ 15IAX9E i5 12Gén 32Go 512Go SSD,Lenovo,https://spacenet.tn/278570-home_default/pc-portable-gamer-lenovo-loq-15iax9e-i5-12gen-32go-512go-ssd.jpg,SpaceNet,15.6,Intel Core i5,32,512 Go SSD,Nvidia GeForce RTX 2050 (4 Go de mémoire dédiée GDDR6 ),Free Dos,Oui,2239.0
B1502CVA-NJ1267-16,https://spacenet.tn/pc-portable-asus/80769-pc-portable-asus-expertbook-b1-i7-13gen-16go-512go-ssd-noir.html,Pc Portable Asus Expertbook B1 I7 13Gén 16Go 512Go SSD Noir,Asus,https://spacenet.tn/241502-home_default/pc-portable-asus-expertbook-b1-i7-13gen-16go-512go-ssd-noir.jpg,SpaceNet,15.6,Intel Core i7,16,512 Go SSD,Intel UHD,Free Dos,Non,2239.0
83GS00KYFG-W11,https://spacenet.tn/lenovo-gaming/82943-pc-portable-gamer-lenovo-loq3-15iax9-i5-12gen-8go-512go-ssd-windows-11.html,Pc Portable Gamer Lenovo LOQ3 15IAX9 i5 12Gén 8Go 512Go SSD Windows 11,Lenovo,https://spacenet.tn/251153-home_default/pc-portable-gamer-lenovo-loq3-15iax9-i5-12gen-8go-512go-ssd-windows-11.jpg,SpaceNet,15.6,Intel Core i5,8,512 Go SSD,Nvidia GeForce RTX 2050 (4 Go de mémoire dédiée GDDR6 ),Windows 11 Pro,Oui,2239.0
S3605ZF-RP619W,https://spacenet.tn/pc-portable-asus/78573-pc-portable-asus-vivobook-16x-i5-12gen-8go-512go-ssd-windows-11.html,Pc Portable Asus Vivobook 16X i5 12Gén 8Go 512Go SSD Windows 11,Asus,https://spacenet.tn/238302-home_default/pc-portable-asus-vivobook-16x-i5-12gen-8go-512go-ssd-windows-11.jpg,SpaceNet,16.0,Intel Core i5,8,512 Go SSD,Nvidia GeForce RTX 2050 (4 Go de mémoire dédiée GDDR6 ),Windows 11,Non,2239.0
83GS00KYFG-16,https://spacenet.tn/lenovo-gaming/82944-pc-portable-gamer-lenovo-loq3-15iax9-i5-12gen-16go-512go-ssd.html,Pc Portable Gamer Lenovo LOQ3 15IAX9 i5 12Gén 16Go 512Go SSD,Lenovo,https://spacenet.tn/251167-home_default/pc-portable-gamer-lenovo-loq3-15iax9-i5-12gen-16go-512go-ssd.jpg,SpaceNet,15.6,Intel Core i5,16,512 Go SSD,Nvidia GeForce RTX 2050 (4 Go de mémoire dédiée GDDR6 ),Free Dos,Oui,2245.0
21MS000DFE-16,https://spacenet.tn/pc-portables-pro-tunisie/79223-pc-portable-lenovo-thinkbook-16-g6-irl-ultra-5-16go-512go-ssd.html,Pc Portable Lenovo ThinkBook 16 G6 IRL Ultra 5 16Go 512Go SSD,Lenovo,https://spacenet.tn/233638-home_default/pc-portable-lenovo-thinkbook-16-g6-irl-ultra-5-16go-512go-ssd.jpg,SpaceNet,16.0,Intel Ultra 5,16,512 Go SSD,Intel Graphics,Free Dos,Non,2245.0
N006L355015EMEA-VP-UBU-32,https://spacenet.tn/pc-portables-pro-tunisie/89224-pc-portable-dell-latitude-3550-i5-13gen-32go-512go-ssd.html,Pc Portable Dell Latitude 3550 i5 13Gén 32Go 512Go SSD,Dell,https://spacenet.tn/282402-home_default/pc-portable-dell-latitude-3550-i5-13gen-32go-512go-ssd.jpg,SpaceNet,15.6,Intel Core i5,32,512 Go SSD,Intel Iris Xe,Ubuntu,Non,2249.0
B1502CVA-BQ0168X,https://spacenet.tn/pc-portable-asus/84600-pc-portable-asus-expertbook-b1-b1502cva-i5-13gen-16go-512go-ssd.html,Pc Portable Asus Expertbook B1 B1502CVA i5 13Gén 16Go 512Go SSD,Asus,https://spacenet.tn/254833-home_default/pc-portable-asus-expertbook-b1-b1502cva-i5-13gen-16go-512go-ssd.jpg,SpaceNet,15.6,Intel Core i5,16,512 Go SSD,Intel UHD,Free Dos,Non,2249.0
32M77EA-16,https://spacenet.tn/pc-portables-pro-tunisie/53848-pc-portable-hp-probook-430-g8-i5-16-go-256go-ssd-silver.html,Pc Portable HP ProBook 430 G8 i5 16 Go 256Go SSD Silver,Hp,https://spacenet.tn/125837-home_default/pc-portable-hp-probook-430-g8-i5-16-go-256go-ssd-silver.jpg,SpaceNet,13.3,Intel Core i5,16,256 Go SSD,Intel Iris Xe,Free Dos,Non,2249.0
S3605ZF-RP770-24,https://spacenet.tn/pc-portable-asus/88738-pc-portable-asus-vivobook-16x-i5-12gen-24go-512go-ssd.html,Pc Portable Asus Vivobook 16X i5 12Gén 24Go 512Go SSD,Asus,https://spacenet.tn/277637-home_default/pc-portable-asus-vivobook-16x-i5-12gen-24go-512go-ssd.jpg,SpaceNet,16.0,Intel Core i5,24,512 Go SSD,Nvidia GeForce RTX 2050 (4 Go de mémoire dédiée GDDR6 ),Free Dos,Non,2255.0
