reference,link,name,brand,image_url,store,screen_size,processor,ram,disk_capacity,gpu,os,gamer,price
N1601PVNB3530-UBU-24,https://www.tunisianet.com.tn/pc-portable-tunisie/80849-pc-portable-dell-vostro-3530-i7-1355u-24-go-512-go-ssd-noir.html,Pc Portable Dell Vostro 3530 / i7-1355U / 24 Go / 512 Go SSD / Noir,,https://www.tunisianet.com.tn/401839-home/pc-portable-dell-vostro-3530-i7-1355u-24-go-512-go-ssd-noir.jpg,tunisianet,"14"" - 15.6""",Intel Core i7 | Intel Core 7,24 Go,512 Go SSD,Graphique Intégrée,FreeDos,,"2 144,000 DT"
83LK006SFG-2Y,https://www.tunisianet.com.tn/pc-portable-tunisie/83103-pc-portable-gamer-lenovo-loq-15iax9e-i5-12450hx-rtx-2050-4g-16-go-ddr5-512-go-ssd-windows-11-gris-.html,PC Portable Gamer Lenovo LOQ 15IAX9E / i5-12450HX / RTX 2050 4G / 16 Go DDR5 / 512 Go SSD / Windows 11 / Gris,,https://www.tunisianet.com.tn/414358-home/pc-portable-gamer-lenovo-loq-15iax9e-i5-12450hx-rtx-2050-4g-16-go-ddr5-512-go-ssd-windows-11-gris-.jpg,tunisianet,"14"" - 15.6""",Intel Core i5 | Intel Core 5,16 Go,512 Go SSD,Nvidia GeForce,Windows 11,,"2 149,000 DT"
B13UCX-2607XFR,https://www.tunisianet.com.tn/pc-portable-tunisie/79791-pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-8-go-512-go-ssd-gris-cosmos.html,Pc Portable Gamer MSI Thin 15 B13U / i5-13420H / RTX 2050 4G / 8 Go / 512 Go SSD / Gris Cosmos Sac à dos MSI Offert,,https://www.tunisianet.com.tn/397586-home/pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-8-go-512-go-ssd-gris-cosmos.jpg,tunisianet,"14"" - 15.6""",Intel Core i5 | Intel Core 5,8 Go,512 Go SSD,Nvidia GeForce,FreeDos,,"2 149,000 DT"
FA506NF-HN004-16,https://www.tunisianet.com.tn/pc-portable-tunisie/84903-pc-portable-asus-tuf-gaming-a15-fa506nf-ryzen-5-7535hs-rtx-2050-4g-16-go-noir.html,PC Portable ASUS TUF Gaming A15 FA506NF / Ryzen 5 7535HS / RTX 2050 4G / 16 Go / Noir,,https://www.tunisianet.com.tn/422989-home/pc-portable-asus-tuf-gaming-a15-fa506nf-ryzen-5-7535hs-rtx-2050-4g-16-go-noir.jpg,tunisianet,"14"" - 15.6""",AMD Ryzen 5,16 Go,512 Go SSD,Nvidia GeForce,FreeDos,,"2 149,000 DT"
82R700K6FG-2Y,https://www.tunisianet.com.tn/pc-portable-tunisie/75212-pc-portable-lenovo-flex5-i5-1235u-8-go-512ssd-gris.html,PC PORTABLE LENOVO FLEX5   / i5 1235U / 8 Go / 512SSD Gris,,https://www.tunisianet.com.tn/368677-home/pc-portable-lenovo-flex5-i5-1235u-8-go-512ssd-gris.jpg,tunisianet,,Intel Core i5 | Intel Core 5,8 Go,512 Go SSD,,Windows 11,,"2 149,000 DT"
P1503CVA-NJ0808-32,https://www.tunisianet.com.tn/pc-portable-tunisie/85104-pc-portable-asus-expertbook-p1-p1503cva-i7-13620h-32-go-ddr5-512-go-ssd-gris.html,Pc Portable ASUS ExpertBook P1 P1503CVA / i7-13620H / 32 Go DDR5 / 512 Go SSD / Gris,,https://www.tunisianet.com.tn/423985-home/pc-portable-asus-expertbook-p1-p1503cva-i7-13620h-32-go-ddr5-512-go-ssd-gris.jpg,tunisianet,"14"" - 15.6""",Intel Core i7 | Intel Core 7,32 Go,512 Go SSD,Graphique Intégrée,FreeDos,,"2 149,000 DT"
B13UCX-2607XFR-16-SS,https://www.tunisianet.com.tn/pc-portable-tunisie/80005-pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-16-go-512-go-ssd-gris-cosmos.html,Pc Portable Gamer MSI Thin 15 B13U / i5-13420H / RTX 2050 4G / 16 Go / 512 Go SSD / Gris Cosmos,,https://www.tunisianet.com.tn/398172-home/pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-16-go-512-go-ssd-gris-cosmos.jpg,tunisianet,"14"" - 15.6""",Intel Core i5 | Intel Core 5,16 Go,512 Go SSD,Nvidia GeForce,FreeDos,,"2 154,000 DT"
X1605VA-MB1636W-16,https://www.tunisianet.com.tn/pc-portable-tunisie/85233-pc-portable-asus-vivobook-16-x1605va-i7-13620h-16-go-512-go-ssd-windows-11-silver.html,Pc Portable ASUS Vivobook 16 X1605VA / i7-13620H / 16 Go / 512 Go SSD / Windows 11 / Silver,,https://www.tunisianet.com.tn/424767-home/pc-portable-asus-vivobook-16-x1605va-i7-13620h-16-go-512-go-ssd-windows-11-silver.jpg,tunisianet,"16""",Intel Core i7 | Intel Core 7,16 Go,512 Go SSD,Graphique Intégrée,Windows 11,,"2 169,000 DT"
P1503CVA-NJ0808-24-W11P,https://www.tunisianet.com.tn/pc-portable-tunisie/85134-pc-portable-asus-expertbook-p1-p1503cva-i7-13620h-24-go-ddr5-512-go-ssd-windows-11-pro-gris.html,Pc Portable ASUS ExpertBook P1 P1503CVA / i7-13620H / 24 Go DDR5 / 512 Go SSD / Windows 11 Pro / Gris,,https://www.tunisianet.com.tn/424187-home/pc-portable-asus-expertbook-p1-p1503cva-i7-13620h-24-go-ddr5-512-go-ssd-windows-11-pro-gris.jpg,tunisianet,"14"" - 15.6""",Intel Core i7 | Intel Core 7,24 Go,512 Go SSD,Graphique Intégrée,Windows 11,,"2 169,000 DT"
N1601PVNB3530-UBU-16W11P,https://www.tunisianet.com.tn/pc-portable-tunisie/81625-pc-portable-dell-vostro-3530-i7-1355u-16-go-512-go-ssd-noir-windows-11-pro.html,Pc Portable Dell Vostro 3530 / i7-1355U / 16 Go / 512 Go SSD / Noir / Windows 11 Pro,,https://www.tunisianet.com.tn/406262-home/pc-portable-dell-vostro-3530-i7-1355u-16-go-512-go-ssd-noir-windows-11-pro.jpg,tunisianet,"14"" - 15.6""",Intel Core i7 | Intel Core 7,16 Go,512 Go SSD,Graphique Intégrée,Windows 11,,"2 174,000 DT"
